Rank,Player,Team,2019-20,2020-21,2021-22,Signed Using,Guaranteed
120,jeremy lamb\lambje01,ind,10500000.0,10500000.0,10500000.0,cap space,31500000.0
121,dwight powell\poweldw01,dal,10259375.0,10185185.0,11000000.0,cap space,43259375.0
122,norman powell\powelno01,tor,10116576.0,10865952.0,11615328.0,cap space,20982528.0
123,josh richardson\richajo01,phi,10100000.0,10800000.0,11600000.0,minimum salary,20900000.0
124,tomáš satoranský\satorto01,chi,10000000.0,10000000.0,10000000.0,sign and trade,25000000.0
125,deandre jordan\jordade01,brk,9881598.0,10375678.0,9881598.0,cap space,39960716.0
126,taj gibson\gibsota01,nyk,9800000.0,10290000.0,11534705.223300971,cap space,9800000.0
127,zion williamson\willizi01,nop,9757440.0,10245480.0,10733400.0,1st round pick,20002920.0
128,markelle fultz\fultzma01,orl,9745200.0,12288697.0,11534705.223300971,1st round pick,22033897.0
129,john henson\hensojo01,det,9732396.0,9384835.395415472,11534705.223300971,1st round pick,9732396.0
130,matthew dellavedova\dellama01,cle,9607500.0,9384835.395415472,11534705.223300971,cap space,9607500.0
131,dante exum\exumda01,cle,9600000.0,9600000.0,11534705.223300971,cap space,18200000.0
132,deandre ayton\aytonde01,pho,9562920.0,10018200.0,12632950.0,1st round pick,19581120.0
133,delon wright\wrighde01,dal,9473684.0,9000000.0,8526316.0,sign and trade,27000000.0
134,jerami grant\grantje01,den,9346153.0,9346153.0,11534705.223300971,bird rights,9346153.0
135,al-farouq aminu\aminual01,orl,9258000.0,9720900.0,10183800.0,mle,29162700.0
136,george hill\hillge01,mil,9133907.0,9590602.0,10047297.0,cap space,21000000.0
137,kyle anderson\anderky01,mem,9073050.0,9505100.0,9937150.0,mle,28515300.0
138,fred vanvleet\vanvlfr01,tor,9000000.0,9384835.395415472,11534705.223300971,bird rights,9000000.0
139,ja morant\moranja01,mem,8730240.0,9166800.0,9603360.0,1st round pick,17897040.0
140,c.j. miles\milescj01,was,8730158.0,9384835.395415472,11534705.223300971,1st round pick,8730158.0
141,lonzo ball\balllo01,nop,8719320.0,11003782.0,11534705.223300971,1st round pick,19723102.0
142,e'twaun moore\mooreet01,nop,8664928.0,9384835.395415472,11534705.223300971,cap space,8664928.0
143,marvin bagley\baglema01,sac,8556120.0,8963640.0,11312114.0,1st round pick,17519760.0
144,bogdan bogdanović\bogdabo01,sac,8529386.0,9384835.395415472,11534705.223300971,cap space,8529386.0
145,tyus jones\jonesty01,mem,8408000.0,7965100.0,7522200.0,mle,23895300.0
146,p.j. tucker\tuckepj01,hou,8349039.0,7969537.0,11534705.223300971,mle,16318576.0
147,cristiano felício\feliccr01,chi,8156500.0,7529020.0,11534705.223300971,cap space,15685520.0
148,ben simmons\simmobe01,phi,8113930.0,29250000.0,31590000.0,1st round pick,177763930.0
149,kentavious caldwell-pope\caldwke01,lal,8089282.0,8493746.0,11534705.223300971,cap space,8089282.0
150,maxi kleber\klebima01,dal,8000000.0,8250000.0,8750000.0,early bird rights,25000000.0
151,lou williams\willilo02,lac,8000000.0,8000000.0,11534705.223300971,cap space,16000000.0
152,elfrid payton\paytoel01,nyk,8000000.0,8000000.0,11534705.223300971,cap space,9000000.0
153,thomas bryant\bryanth01,was,7936508.0,8333333.0,8730159.0,early bird rights,25000000.0
154,rj barrett\barrerj01,nyk,7839960.0,8231760.0,8623920.0,1st round pick,16071720.0
155,jayson tatum\tatumja01,bos,7830000.0,9897120.0,11534705.223300971,1st round pick,17727120.0
156,jae crowder\crowdja01,mia,7815533.0,9384835.395415472,11534705.223300971,bird rights,7815533.0
157,wayne ellington\ellinwa01,nyk,7804878.0,8195122.0,11534705.223300971,cap space,7804878.0
158,luka dončić\doncilu01,dal,7683360.0,8049360.0,10174391.0,1st round pick,15732720.0
159,joe harris\harrijo01,brk,7670000.0,9384835.395415472,11534705.223300971,early bird rights,7670000.0
